study_key,n_or_E,archive_peak_abs_rf2_ratio,i_eff_mono_mm4,i_eff_sep_mm4,i_eff_ratio_mono_over_sep,normalized_rf2_ratio,candidate_role,section_effect_dominates_flag,normalization_note,i_eff_sep_model,source_basis
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=5|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,5,0.474031,228852426.667,18452426.6667,12.4022943324,0.957590991965,negative_interface_sensitivity_anchor,true,full-height independent H stack corrected against monolithic stack parallel-axis inertia,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=4|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,4,0.593743,119961941.333,14761941.3333,8.12643395774,0.950007961412,negative_interface_sensitivity_anchor,false,full-height independent H stack corrected against monolithic stack parallel-axis inertia,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=300|B=150|T1=6.5|T2=9|L=3000|n_or_E=1|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,1,1.72701,69325191,69325191,1,1.72701,positive_interface_sensitivity_anchor,false,n_or_E=1 gives no section-stack correction; residual contrast is interface/contact/BC proxy,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=200|B=100|T1=5.5|T2=8|L=3000|n_or_E=1|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,1,1.70851,17609322.6667,17609322.6667,1,1.70851,positive_interface_sensitivity_anchor,false,n_or_E=1 gives no section-stack correction; residual contrast is interface/contact/BC proxy,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=1|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,1,1.64136,3690485.33333,3690485.33333,1,1.64136,positive_interface_sensitivity_anchor,false,n_or_E=1 gives no section-stack correction; residual contrast is interface/contact/BC proxy,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=400|B=150|T1=8|T2=13|L=3000|n_or_E=1|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,1,1.62178,180955449.333,180955449.333,1,1.62178,positive_interface_sensitivity_anchor,false,n_or_E=1 gives no section-stack correction; residual contrast is interface/contact/BC proxy,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=1|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=461.03|yuss=627|yusn=0.1112,1,1.58061,3690485.33333,3690485.33333,1,1.58061,positive_interface_sensitivity_anchor,false,n_or_E=1 gives no section-stack correction; residual contrast is interface/contact/BC proxy,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=3|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,3,0.757448,53151456,11071456,4.80076477746,0.949476383192,secondary_bridge_case,false,full-height independent H stack corrected against monolithic stack parallel-axis inertia,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=488|B=300|T1=11|T2=18|L=3000|n_or_E=1|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,1,1.29621,681371557.333,681371557.333,1,1.29621,secondary_bridge_case,false,n_or_E=1 gives no section-stack correction; residual contrast is interface/contact/BC proxy,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=2|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=355.61|yuss=444|yusn=0.1576,2,1.22427,17900970.6667,7380970.66667,2.42528679155,1.09247153812,secondary_bridge_case,false,full-height independent H stack corrected against monolithic stack parallel-axis inertia,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
H=100|B=100|T1=6|T2=8|L=3000|n_or_E=2|F=4|BoltD=20|BoltB=0|meshsz=40|cf1f=0|cf2f=1|cf3f=0|yfss=461.03|yuss=627|yusn=0.1112,2,0.973659,17900970.6667,7380970.66667,2.42528679155,0.989139016428,transition_or_neutral_anchor,false,full-height independent H stack corrected against monolithic stack parallel-axis inertia,"full_height_H_instances_non_composite; I_sep=n*I_single(H,B,T1,T2); source-audited W3b",overall script: one Part with sketch linearPattern number2=E spacing2=A; separated script: LinearInstancePattern of full-height Part-1 instances spacing2=A plus contact sfricn
