scenario,n_cases,label_agreement_to_baseline,n_labels,label_counts_json,global_threshold,local_threshold,slip_threshold,energy_floor,mixed_floor
baseline,90,1.0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",0.78,0.35,1.0,0.02,0.65
all_thresholds_minus10,90,0.8666666666666667,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 27, ""mixed_slip_stability"": 6, ""slip_dominated"": 17, ""stiff_composite_like"": 4}",0.7020000000000001,0.315,0.9,0.018000000000000002,0.5850000000000001
all_thresholds_plus10,90,0.9555555555555556,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 8, ""slip_dominated"": 20, ""stiff_composite_like"": 8}",0.8580000000000001,0.385,1.1,0.022000000000000002,0.7150000000000001
global_threshold_minus10,90,1.0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",0.7020000000000001,0.35,1.0,0.02,0.65
global_threshold_plus10,90,1.0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",0.8580000000000001,0.35,1.0,0.02,0.65
local_threshold_minus10,90,0.9,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 27, ""mixed_slip_stability"": 5, ""slip_dominated"": 16, ""stiff_composite_like"": 6}",0.78,0.315,1.0,0.02,0.65
local_threshold_plus10,90,1.0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",0.78,0.385,1.0,0.02,0.65
slip_thresholds_minus10,90,0.9555555555555556,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 8, ""slip_dominated"": 24, ""stiff_composite_like"": 4}",0.78,0.35,0.9,0.018000000000000002,0.5850000000000001
slip_thresholds_plus10,90,0.9555555555555556,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 8, ""slip_dominated"": 20, ""stiff_composite_like"": 8}",0.78,0.35,1.1,0.022000000000000002,0.7150000000000001
